id,Fold_stratified_url,Fold_stratified_url_ver2,random_state
c12129c31,0,0,88
85aa80a4c,1,1,88
b69ac6792,2,2,88
dd1000b26,3,3,88
37c1b32fb,4,1,88
f9bf357fe,0,3,88
eaf8e7355,1,2,88
0a43a07f1,2,3,88
f7eff7419,3,1,88
d96e6dbcd,4,2,88
c57b50918,0,3,88
8d8a2667f,1,4,88
a0d4cd896,2,0,88
0963b8cf9,3,1,88
587502a70,4,2,88
af79954c5,0,3,88
7656dea91,1,4,88
60ecc9777,2,0,88
057f69731,3,1,88
5e7c0b55b,4,1,88
a9ebe5d33,0,2,88
47e98a5c8,1,3,88
7285ba024,2,4,88
66f0a9ff1,3,0,88
e4f3550b2,4,1,88
e6181a3fb,0,2,88
08104f366,1,3,88
2df8a90eb,2,4,88
fc36fd8ff,3,1,88
060e33d14,4,0,88
aa6f9e224,0,0,88
4d5b83eba,1,2,88
918a52c5a,2,3,88
83e4f4031,3,4,88
c8ff70806,4,2,88
bdd8488dd,0,0,88
4b7a4b258,1,0,88
0cc4c4124,2,0,88
b8445380e,3,1,88
8cc328cc3,4,4,88
ee2908eeb,0,2,88
4835579c1,1,3,88
860580bf0,2,2,88
e355dc94d,3,0,88
7017e31a7,4,1,88
2dc93434f,0,2,88
e97e914c6,1,0,88
12da06b54,2,0,88
90f7894fc,3,1,88
086a01dde,4,0,88
e894309c3,0,1,88
e25d16cf4,1,3,88
e492c3e0a,2,4,88
59d87380b,3,0,88
fa84dbf46,4,1,88
97376dd89,0,2,88
3941a0775,1,0,88
419a460ef,2,3,88
1c5eaf24e,3,4,88
741b12820,4,0,88
939541b15,0,1,88
a925cdb49,1,4,88
b6f05e0c2,2,2,88
bebf505e3,3,3,88
b5d69a031,4,4,88
3411fc5bb,0,0,88
0f1656963,1,0,88
fd1213183,2,1,88
61d943954,3,2,88
a7b02232a,4,3,88
c8248450c,0,4,88
6e7e7ea91,1,0,88
0060c36b9,2,0,88
9e69a612d,3,0,88
08aa1ae28,4,1,88
cd96e48f5,0,4,88
cf3189919,1,2,88
f0f26aafc,2,3,88
526455fc3,3,4,88
89bc2974e,4,0,88
5a14e5c1b,0,1,88
b533bc27e,1,2,88
a38c47dc1,2,3,88
a1940242f,3,4,88
cb682b5d0,4,3,88
74498048f,0,4,88
b1bf8bb2d,1,4,88
c9ffcb15b,2,0,88
b0eab5ef8,3,2,88
06ce84c6d,4,1,88
5accb45d5,0,2,88
7f947f364,1,3,88
5813050e4,2,3,88
4e62e645b,3,4,88
92de89438,4,0,88
6eb22333a,0,1,88
8de3a8dd8,1,1,88
d8c5b6ac8,2,2,88
9156a494a,3,3,88
da2dbbc70,4,4,88
669c8bb53,0,0,88
cbbd1d214,1,3,88
c337534cd,2,0,88
ad1ad157a,3,1,88
15df7f4ab,4,2,88
60f36e48c,0,3,88
436ce79fe,1,4,88
8f576a796,2,0,88
1b2275a6b,3,1,88
e39b68366,4,2,88
80035934c,0,2,88
3a25b6fbc,1,2,88
46a13c6ea,2,3,88
79b580b77,3,4,88
9ce1ddb37,4,0,88
3723e3a8f,0,1,88
57e274d73,1,2,88
10c0e9378,2,2,88
074f70bbe,3,2,88
dd8a9d2f4,4,3,88
833efe648,0,0,88
26d07b3b3,1,4,88
10079320a,2,1,88
6980ceba4,3,0,88
5c5d57c8a,4,1,88
97cfc08c1,0,2,88
664ef8cdd,1,3,88
0cdf53452,2,4,88
0921dcfa3,3,3,88
a45668166,4,0,88
ed7084c72,0,3,88
e9a3ac07b,1,0,88
cc053446f,2,1,88
df9a91b62,3,2,88
72abfc738,4,3,88
cf051fa19,0,3,88
b81d4f07a,1,4,88
2fd1bc415,2,0,88
17f811ae2,3,1,88
fb249919c,4,2,88
dd679b1ae,0,3,88
9fcd7cf25,1,4,88
11e21679d,2,4,88
bf2b74953,3,4,88
e2633499a,4,0,88
d015b4eb7,0,0,88
d80263492,1,1,88
5a237df4a,2,3,88
16e883aee,3,2,88
c25c2e48c,4,3,88
4563a70ca,0,2,88
eb45f741d,1,4,88
687eb6e91,2,0,88
df052152b,3,1,88
865e80e6a,4,2,88
4a50c22ba,0,2,88
79cafacb6,1,3,88
8b31124fd,2,4,88
5129ab90e,3,3,88
5db0d38de,4,0,88
f745bb842,0,3,88
5b786d0b1,1,0,88
59e6b07ad,2,1,88
2cc7ad1da,3,2,88
dab96a9ab,4,3,88
82eba3cf1,0,0,88
4331e23fb,1,4,88
472447dbf,2,4,88
3985c8e37,3,0,88
a1864cd44,4,1,88
a5c22fbff,0,2,88
424abc511,1,3,88
d031fb6b8,2,4,88
344524c76,3,0,88
79fb5f325,4,2,88
38548788f,0,1,88
d6461df4e,1,2,88
669b6d8e1,2,3,88
76f4e081f,3,4,88
7aad3c01f,4,0,88
1eafabcd1,0,1,88
13c214c34,1,2,88
3b3d2bad7,2,2,88
2490e8a15,3,4,88
68f464a42,4,2,88
1e1bc114d,0,4,88
6525f8ffd,1,3,88
f317805ab,2,3,88
2cc85e648,3,4,88
61e97c2ce,4,0,88
cb5c0092d,0,1,88
4fbca0146,1,1,88
56dc08499,2,2,88
