id,url_legal,license,excerpt,target,standard_error
897fbf60f,,,"The Police Department Band appeared and the band of the 15th Coast Artillery from Fort Hamilton. Taking advantage of the occasion, James Montgomery Flagg now appeared in his studio van on the southern fringe of the Broad Street crowd. A girl with him played something on the cornet. It was a good deal like a show on the Midway at a Western county fair. But this was no faker — one of the most famous artists in America, throwing in a signed sketch of whoever bought Liberty bonds. Those near him began pushing and crowding to take advantage of the offer.
And now, suddenly, a tremendous racket up the street toward Broadway. Who comes? 
Cheer on cheer, now. It is the ""Anzacs."" Twelve long, rangy fellows, officers all, six or seven of them with the little brass ""A"" on the shoulder, which signifies service at Gallipoli and in Flanders. They are members of the contingent of 500 which arrived here yesterday on its way to the battlefields of France. They run lightly up the Sub-Treasury steps and take their stand in a group beside the soldier band.",-2.071544877,0.485333759
476b3492a,https://www.africanstorybook.org/,CC BY 4.0,"There was a girl named Ayanda. Ayanda was the only child of her parents. Her mother and father wanted to separate. Ayanda decided to run away from home. She went to the forest because she did not know where else to go. A wolf in the forest chased Ayanda, so she climbed a tree. The wolf tried to bite her, so she climbed higher. At the top of the tree, Ayanda saw the beautiful sun. She fell in love with the sun and decided to stay in the forest. Ayanda climbed the tree every day to talk to the sun. The sun became her family. One day, Ayanda saw a man under the tree. The man was her father. Ayanda came down from the tree and her father explained why he was there. He said, ""Long before you were born, your mother and I would meet here. It is a special place."" ""Now I climb this tree to get peace when your mother and I fight,"" said Ayanda's father. After a while, Ayanda's mother also came to the forest. She came to make peace with Ayanda's father. This was their peace tree.",0.487495265,0.503104584
209478cd7,,,"We measure weights or forces by comparison with some generally known and accepted unit standard weights, lengths, areas, and volumes, by comparison with a unit length, resistance by a standard ohm, and so forth. In the same way currents could be measured by comparison with a standard current: but this would be a troublesome process, not only on account of the apparatus necessary, but also because it would be a matter of some difficulty to have a standard current always ready for use. In general, measurement by direct comparison with a standard unit is discarded for the more indirect method of measuring not the current itself, but its chemical, mechanical, or magnetic effect. The chemical method is very accurate if a proper density of current through the surface of the electrodes be used, but since it requires a considerable time, and, above all, an absolutely constant current, its use is almost entirely restricted to laboratory work and to the calibration of other instruments. For practical ready use, instruments employing the mechanical or magnetic effect of the current are alone suitable. We weigh, so to speak, the current against the force of a magnet, of a spring, or of gravity.",-2.068389326,0.470061711
be40d522d,,,"On entering the parlour we found that honoured lady seated in her arm-chair at the fireside, working away at her knitting, according to her usual custom, when she had nothing else to do. She had swept the hearth, and made a bright blazing fire for our reception; the servant had just brought in the tea-tray; and Rose was producing the sugar-basin and tea-caddy from the cupboard in the black oak side-board, that shone like polished ebony, in the cheerful parlour twilight.
‘Well! here they both are,' cried my mother, looking round upon us without retarding the motion of her nimble fingers and glittering needles. ‘Now shut the door, and come to the fire, while Rose gets the tea ready; I'm sure you must be starved;—and tell me what you've been about all day;—I like to know what my children have been about.'",-0.533714791,0.473042191
62e457e21,,,"Jacob lived in the land where his father had stayed, the land of Canaan.
This is the account of Jacob's family line. Joseph, a young man of seventeen, was tending the flocks with his brothers, the sons of Bilhah and the sons of Zilpah, and he brought their father a bad report about them.
Now Israel loved Joseph more than any of his other sons, because he had been born to him in his old age; and he made an ornate robe for him.
When his brothers saw that their father loved him more than any of them, they hated him and could not speak a kind word to him. 
Joseph had a dream, and when he told it to his brothers, they hated him all the more.
He said to them, ""Listen to this dream I had:
We were binding sheaves of grain out in the field when suddenly my sheaf rose and stood upright, while your sheaves gathered around mine and bowed down to it.""",-0.930922754,0.46699986
5e854dab8,,,"He was a very selfish Giant.
The poor children had now nowhere to play. They tried to play on the road, but the road was very dusty and full of hard stones, and they did not like it. They used to wander round the high wall when their lessons were over, and talk about the beautiful garden inside. ""How happy we were there,"" they said to each other.
Then the Spring came, and all over the country there were little blossoms and little birds. Only in the garden of the Selfish Giant it was still winter. The birds did not care to sing in it as there were no children, and the trees forgot to blossom. Once a beautiful flower put its head out from the grass, but when it saw the notice-board it was so sorry for the children that it slipped back into the ground again, and went off to sleep. The only people who were pleased were the Snow and the Frost. ""Spring has forgotten this garden,"" they cried, ""so we will live here all the year round."" The Snow covered up the grass with her great white cloak, and the Frost painted all the trees silver.",-0.057944357,0.504742829
c8e2fb22b,,,"In his remarks on the synopsis of one hundred and eleven experiments, made at Washington, he says: ""As may be noticed, thirty-five of them would yield zero. If we take the average of the hundred and eleven experiments, we find as a yield 4.5 per cent., which result cannot possibly be practically accepted. In other words, our government, notwithstanding the favorable conditions under which they were made, prove that the sorghum utilization is fallacy in every sense of the word."" ... ""If sorghum is to be grown for its sirup, or for fodder, it will evidently render excellent service."" It seems that less than four per cent. of crystallizable sugar in the sorghum juice will not pay the cost of making sugar from it, as it will not crystallize in a reasonable time, on account of the glucose in the juice, which, with the other impurities, will prevent the ready crystallization of four or five times their own weight of sucrose.",-2.194383485,0.510471636
7ff68b5da,,,"One night, the hoseman (who sleeps upstairs in the engine-house, so as to be all ready if there is an alarm of fire) heard a great noise down below,—a stamping and jumping, as if the horses were getting ready to go to a fire, when there was no alarm at all. He went softly to the stairway, and looked down; and there was Jim, jumping over the shafts of the hose-carriage, first one way, then another, just to amuse himself.
One day old Jim was in the yard behind the engine-house, and a man went out to catch him, and lead him in. But he rushed and pranced around the yard, and would not be caught. Then the man set out to drive him in; and what do you think Jim did?
Instead of going in at the open door, he made a leap, and went in at the open window, without breaking a glass, or hurting himself in the least. No one who saw the window would believe that such a great horse could possibly have gone through it.",-1.11705484,0.471546055
17acf292d,https://www.commonlit.org/texts/how-autism-freed-me-to-be-myself,CC BY-NC-ND 4.0,"One of the things I can do because I'm autistic — it's an ability rather than a disability — is I've got a very, very vivid imagination. Let me explain it to you a bit. It's like I'm walking in two worlds most of the time. There's the real world, the world that we all share, and there's the world in my mind, and the world in my mind is often so much more real than the real world. Like, it's very easy for me to let my mind loose because I don't try and fit myself into a tiny little box. That's one of the best things about being autistic. You don't have the urge to do that. You find what you want to do, you find a way to do it, and you get on with it. If I was trying to fit myself into a box, I wouldn't be here, I wouldn't have achieved half the things that I have now. There are problems, though. There are problems with being autistic, and there are problems with having too much imagination.",0.115457832,0.482210685
a910bc7f2,,,"She grew up like other girls in her country. She did not know how to read. None of them knew how to read. But she knew how to braid straw, and to make fishnets and to catch fish. She did not know how to spell. Indeed, in that country they had no letters. But she knew how to split open the fish she had caught, how to clean them, how to broil them on the coals, and how to eat them neatly. She had never studied the ""analysis of her language."" But she knew how to use it like a lady; that is, prettily, simply, without pretense, and always truly. She could sing her baby brother to sleep. She could tell stories to her sisters all day long. And she and they were not afraid when evening came, or when they were in any trouble, to say a prayer aloud to the good God. So they got along, although they could not analyze their language. She knew no geography. She could count her fingers, and the stars in the Southern Cross. She had never seen Orion, or the stars in the Great Bear, or the Pole-Star.",0.171158967,0.483961177
